pvalues,f_test,comparison,genome,Agriculture,genus_species
9.6703e-12,two-tail,antismash-CARD,GCA_002894205,Trichoderma,Trichoderma gamsii
0,ratio,antismash-CARD,GCA_002894205,Trichoderma,Trichoderma gamsii
1.1649e-4,right,antismash-CARD,GCA_004303015,Hypomyces_Cladobotryum,Cladobotryum protrusum
1.6311e-4,two-tail,antismash-CARD,GCA_004303015,Hypomyces_Cladobotryum,Cladobotryum protrusum
0.0017893,right,antismash-cazy,GCA_004303015,Hypomyces_Cladobotryum,Cladobotryum protrusum
0.0026892,two-tail,antismash-cazy,GCA_004303015,Hypomyces_Cladobotryum,Cladobotryum protrusum
4.6484e-4,right,antismash-CARD,ICBG1054,Coral,ICBG1054
8.6541e-4,two-tail,antismash-CARD,ICBG1054,Coral,ICBG1054
5.8104e-5,right,antismash-cazy,ICBG1054,Coral,ICBG1054
8.2724e-5,two-tail,antismash-cazy,ICBG1054,Coral,ICBG1054
5.6199e-5,right,antismash-led,ICBG1054,Coral,ICBG1054
9.1444e-5,two-tail,antismash-led,ICBG1054,Coral,ICBG1054
4.8842e-13,right,antismash-MEROPS,ICBG1054,Coral,ICBG1054
8.3713e-13,two-tail,antismash-MEROPS,ICBG1054,Coral,ICBG1054
2.1514e-21,right,antismash-CARD,ICBG1065,Coral,ICBG1065
2.1514e-21,two-tail,antismash-CARD,ICBG1065,Coral,ICBG1065
8.7134e-6,right,antismash-cazy,ICBG1065,Coral,ICBG1065
1.2696e-5,two-tail,antismash-cazy,ICBG1065,Coral,ICBG1065
1.8965e-4,right,antismash-MEROPS,ICBG1065,Coral,ICBG1065
3.605e-4,two-tail,antismash-MEROPS,ICBG1065,Coral,ICBG1065
0.0032571,right,antismash-MEROPS,ICBG1075,Coral,ICBG1075
0.0049937,two-tail,antismash-MEROPS,ICBG1075,Coral,ICBG1075
0.011484,right,antismash-CARD,ICBG1096,Higher,ICBG1096
0.020002,two-tail,antismash-CARD,ICBG1096,Higher,ICBG1096
1.216e-11,left,antismash-led,ICBG1096,Higher,ICBG1096
2.376e-11,two-tail,antismash-led,ICBG1096,Higher,ICBG1096
3.2865e-6,left,antismash-MEROPS,ICBG1096,Higher,ICBG1096
5.1866e-6,two-tail,antismash-MEROPS,ICBG1096,Higher,ICBG1096
7.6481e-4,right,antismash-led,ICBG2046,Lower,ICBG2046
0.0011557,two-tail,antismash-led,ICBG2046,Lower,ICBG2046
3.6759e-5,right,antismash-CARD,ICBG2047,Lower,ICBG2047
4.6687e-5,two-tail,antismash-CARD,ICBG2047,Lower,ICBG2047
6.1451e-7,right,antismash-led,ICBG2047,Lower,ICBG2047
9.2506e-7,two-tail,antismash-led,ICBG2047,Lower,ICBG2047
8.9133e-5,right,antismash-MEROPS,ICBG2047,Lower,ICBG2047
1.8021e-4,two-tail,antismash-MEROPS,ICBG2047,Lower,ICBG2047
0.043106,right,antismash-CARD,ICBG2048,Lower,ICBG2048
0.012954,right,antismash-cazy,ICBG2048,Lower,ICBG2048
0.023681,two-tail,antismash-cazy,ICBG2048,Lower,ICBG2048
4.9763e-4,right,antismash-led,ICBG2048,Lower,ICBG2048
6.5509e-4,two-tail,antismash-led,ICBG2048,Lower,ICBG2048
1.724e-9,right,antismash-MEROPS,ICBG2048,Lower,ICBG2048
3.029e-9,two-tail,antismash-MEROPS,ICBG2048,Lower,ICBG2048
4.5633e-4,right,antismash-cazy,ICBG2049,Lower,ICBG2049
7.6303e-4,two-tail,antismash-cazy,ICBG2049,Lower,ICBG2049
1.4828e-25,right,antismash-MEROPS,ICBG2049,Lower,ICBG2049
1.828e-25,two-tail,antismash-MEROPS,ICBG2049,Lower,ICBG2049
7.508e-8,two-tail,antismash-busco,ICBG710,Higher,ICBG710
0,ratio,antismash-busco,ICBG710,Higher,ICBG710
2.5112e-12,right,antismash-CARD,ICBG710,Higher,ICBG710
2.5112e-12,two-tail,antismash-CARD,ICBG710,Higher,ICBG710
0.019859,right,antismash-cazy,ICBG710,Higher,ICBG710
0.032647,two-tail,antismash-cazy,ICBG710,Higher,ICBG710
7.4466e-7,right,antismash-led,ICBG710,Higher,ICBG710
9.5073e-7,two-tail,antismash-led,ICBG710,Higher,ICBG710
5.6574e-7,right,antismash-MEROPS,ICBG710,Higher,ICBG710
7.5448e-7,two-tail,antismash-MEROPS,ICBG710,Higher,ICBG710
4.8989e-6,right,antismash-virulence,ICBG710,Higher,ICBG710
9.746e-6,two-tail,antismash-virulence,ICBG710,Higher,ICBG710
2.8153e-11,two-tail,antismash-CARD,ICBG712,Coral,ICBG712
5.7935e-4,right,antismash-CARD,ICBG721,Coral,ICBG721
0.0010514,two-tail,antismash-CARD,ICBG721,Coral,ICBG721
0.0020822,right,antismash-led,ICBG721,Coral,ICBG721
0.0033458,two-tail,antismash-led,ICBG721,Coral,ICBG721
4.128e-9,right,antismash-CARD,ICBG726,Coral,ICBG726
4.748e-9,two-tail,antismash-CARD,ICBG726,Coral,ICBG726
5.4993e-28,two-tail,antismash-cazy,ICBG726,Coral,ICBG726
5.2088e-5,right,antismash-led,ICBG726,Coral,ICBG726
6.9329e-5,two-tail,antismash-led,ICBG726,Coral,ICBG726
3.1038e-11,right,antismash-MEROPS,ICBG726,Coral,ICBG726
4.0175e-11,two-tail,antismash-MEROPS,ICBG726,Coral,ICBG726
0,ratio,antismash-busco,ICBG730,Higher,ICBG730
1.2737e-24,right,antismash-CARD,ICBG730,Higher,ICBG730
1.2737e-24,two-tail,antismash-CARD,ICBG730,Higher,ICBG730
3.2669e-13,right,antismash-CARD,ICBG731,Leafcutter,ICBG731
4.2766e-13,two-tail,antismash-CARD,ICBG731,Leafcutter,ICBG731
1.8283e-10,right,antismash-cazy,ICBG731,Leafcutter,ICBG731
3.5128e-10,two-tail,antismash-cazy,ICBG731,Leafcutter,ICBG731
1.9886e-6,right,antismash-MEROPS,ICBG731,Leafcutter,ICBG731
3.4101e-6,two-tail,antismash-MEROPS,ICBG731,Leafcutter,ICBG731
1.3202e-19,right,antismash-CARD,ICBG733,Higher,ICBG733
1.3202e-19,two-tail,antismash-CARD,ICBG733,Higher,ICBG733
0.0020153,right,antismash-cazy,ICBG733,Higher,ICBG733
0.0029047,two-tail,antismash-cazy,ICBG733,Higher,ICBG733
1.1277e-8,right,antismash-MEROPS,ICBG733,Higher,ICBG733
1.9392e-8,two-tail,antismash-MEROPS,ICBG733,Higher,ICBG733
4.6295e-6,right,antismash-CARD,ICBG736,Leafcutter,ICBG736
5.9777e-6,two-tail,antismash-CARD,ICBG736,Leafcutter,ICBG736
3.1242e-5,right,antismash-cazy,ICBG736,Leafcutter,ICBG736
4.7092e-5,two-tail,antismash-cazy,ICBG736,Leafcutter,ICBG736
0.0076924,right,antismash-led,ICBG736,Leafcutter,ICBG736
0.014381,two-tail,antismash-led,ICBG736,Leafcutter,ICBG736
5.0369e-10,right,antismash-MEROPS,ICBG736,Leafcutter,ICBG736
8.005e-10,two-tail,antismash-MEROPS,ICBG736,Leafcutter,ICBG736
0,ratio,antismash-busco,ICBG742,Leafcutter,ICBG742
3.5662e-14,right,antismash-CARD,ICBG742,Leafcutter,ICBG742
3.5662e-14,two-tail,antismash-CARD,ICBG742,Leafcutter,ICBG742
1.7918e-6,right,antismash-led,ICBG742,Leafcutter,ICBG742
3.1315e-6,two-tail,antismash-led,ICBG742,Leafcutter,ICBG742
2.3656e-5,right,antismash-MEROPS,ICBG742,Leafcutter,ICBG742
3.2141e-5,two-tail,antismash-MEROPS,ICBG742,Leafcutter,ICBG742
2.9044e-5,right,antismash-CARD,ICBG751,Higher,ICBG751
4.2097e-5,two-tail,antismash-CARD,ICBG751,Higher,ICBG751
2.7936e-10,right,antismash-cazy,ICBG751,Higher,ICBG751
3.4472e-10,two-tail,antismash-cazy,ICBG751,Higher,ICBG751
0.0017276,left,antismash-led,ICBG751,Higher,ICBG751
0.0027097000000000002,two-tail,antismash-led,ICBG751,Higher,ICBG751
0.0032653,left,antismash-CARD,NIGB00000000,Leafcutter,NIGB00000000
0.0066958,two-tail,antismash-CARD,NIGB00000000,Leafcutter,NIGB00000000
1.9962e-8,right,antismash-cazy,NIGB00000000,Leafcutter,NIGB00000000
3.1566e-8,two-tail,antismash-cazy,NIGB00000000,Leafcutter,NIGB00000000
8.0182e-5,right,antismash-led,NIGB00000000,Leafcutter,NIGB00000000
1.3142e-4,two-tail,antismash-led,NIGB00000000,Leafcutter,NIGB00000000
4.2775e-13,right,antismash-MEROPS,NIGC00000000,Leafcutter,NIGC00000000
4.2775e-13,two-tail,antismash-MEROPS,NIGC00000000,Leafcutter,NIGC00000000
8.1917e-4,left,antismash-CARD,NQYQ00000000,Leafcutter,NQYQ00000000
0.0012644,two-tail,antismash-CARD,NQYQ00000000,Leafcutter,NQYQ00000000
1.1057e-29,left,antismash-busco,NQYS00000000,Leafcutter,NQYS00000000
1.1057e-29,two-tail,antismash-busco,NQYS00000000,Leafcutter,NQYS00000000
0,ratio,antismash-busco,NQYS00000000,Leafcutter,NQYS00000000
3.2504e-16,right,antismash-CARD,NQYS00000000,Leafcutter,NQYS00000000
3.2504e-16,two-tail,antismash-CARD,NQYS00000000,Leafcutter,NQYS00000000
0.0064978,left,antismash-CARD,SPDT00000000,Hypomyces_Cladobotryum,Hypomyces perniciosus
0.011181,two-tail,antismash-CARD,SPDT00000000,Hypomyces_Cladobotryum,Hypomyces perniciosus
1.7127e-6,right,antismash-cazy,SPDT00000000,Hypomyces_Cladobotryum,Hypomyces perniciosus
3.1035e-6,two-tail,antismash-cazy,SPDT00000000,Hypomyces_Cladobotryum,Hypomyces perniciosus
1.0175e-7,right,antismash-led,SPDT00000000,Hypomyces_Cladobotryum,Hypomyces perniciosus
1.0175e-7,two-tail,antismash-led,SPDT00000000,Hypomyces_Cladobotryum,Hypomyces perniciosus
5.1459e-10,right,antismash-MEROPS,SPDT00000000,Hypomyces_Cladobotryum,Hypomyces perniciosus
5.1459e-10,two-tail,antismash-MEROPS,SPDT00000000,Hypomyces_Cladobotryum,Hypomyces perniciosus
